Config,Trades,Win Rate,Avg Return,Avg Win,Avg Loss,Payoff Ratio,Expectancy per Trade,Profit Factor,Max Drawdown,Trades per Month,Test Period,Confidence,Validation Status,Notes
"All (score>=78, RS>=80)",88,63.6%,+1.19%,+3.42%,-2.71%,1.26,+1.19%,2.21,2.1%,7.3,"12 months (Apr 2025 - Apr 2026)",High,NEEDS TUNING,"88 signals, 63.6% WR baseline"
"BUY verdict only",58,63.8%,+1.50%,+4.01%,-2.92%,1.38,+1.50%,2.42,2.1%,4.8,"12 months (Apr 2025 - Apr 2026)",High,NEEDS TUNING,"BUY signals only, all setups"
"BUY + Quality Setups (no 52wk)",14,85.7%,+4.35%,+5.91%,-4.97%,1.19,+4.35%,7.13,0.6%,1.2,"12 months (Apr 2025 - Apr 2026)",Low,PASSED,"RECOMMENDED CONFIG. VCP+TC+Pullback+Squeeze only"
"Quality Setups (all verdicts)",15,80.0%,+4.02%,+5.91%,-3.55%,1.66,+4.02%,6.66,0.6%,1.2,"12 months (Apr 2025 - Apr 2026)",Low,PASSED,"Same setups, includes WATCH signals"
"VCP Breakout only",5,100.0%,+3.13%,+3.13%,0.00%,inf,+3.13%,inf,0.0%,0.4,"12 months (Apr 2025 - Apr 2026)",Low,REVIEW,"Highest WR setup but low volume"
"Trend Continuation only",9,77.8%,+5.03%,+7.89%,-4.97%,1.59,+5.03%,5.56,0.6%,0.8,"12 months (Apr 2025 - Apr 2026)",Low,REVIEW,"Best volume + quality balance"
"52wk Breakout (EXCLUDED)",73,60.3%,+0.61%,+2.74%,-2.62%,1.04,+0.61%,1.58,1.7%,6.1,"12 months (Apr 2025 - Apr 2026)",High,NEEDS TUNING,"EXCLUDED — drags overall WR down"
